,"('GLD', 'open')","('GLD', 'high')","('GLD', 'low')","('GLD', 'close')","('GLD', 'volume')",Close
2017-12-01,120.94,122.43,120.74,121.59,11759744,10195.169193884652
2017-12-04,121.15,121.2,120.84,121.18,4743974,11346.535726198766
2017-12-05,120.44,120.505,119.72,120.3,7642020,11655.62583157897
2017-12-06,120.03,120.44,119.87,120.07,3929924,12580.533465277796
2017-12-07,119.01,119.24,118.1,118.51,9551737,14778.20741666666
2017-12-08,118.63,118.92,118.33,118.49,4375401,15432.868875000007
2017-12-11,118.37,118.54,117.8,118.02,3866157,16202.50012500004
2017-12-12,117.73,118.17,117.4,118.15,5690336,16731.40944367175
2017-12-13,118.19,119.35,118.01,119.17,8339413,16540.327312500034
2017-12-14,119.1,119.285,118.705,118.94,4710921,16340.604209416715
2017-12-15,119.41,119.5,118.97,119.19,5740030,17363.83694347521
2017-12-18,119.63,119.99,119.6,119.74,4184945,18720.01349999997
2017-12-19,119.67,119.9,119.53,119.82,3284274,18320.99682418341
2017-12-20,119.98,120.36,119.81,120.14,4196778,16834.521375000026
2017-12-21,120.07,120.45,120.0,120.32,3737348,16221.424986111117
2017-12-22,120.67,121.14,120.57,120.95,4640317,13758.08390909089
2017-12-26,121.55,121.87,121.51,121.78,6062943,15243.615263888882
2017-12-27,122.0,122.34,121.875,122.24,4340080,15581.444701388851
2017-12-28,122.82,122.92,122.56,122.84,4187044,14248.632048611133
2017-12-29,123.7,124.085,123.46,123.67,6160024,14534.974930555549
2018-01-02,124.66,125.18,124.39,125.15,8614476,13879.358895833342
2018-01-03,125.05,125.09,124.101,124.82,6560215,14963.699340277786
2018-01-04,124.89,125.85,124.74,125.46,5822239,14818.780319444424
2018-01-05,124.93,125.48,124.83,125.32,4582048,15792.452506944404
2018-01-08,125.2,125.32,124.9,125.31,2744331,15300.74915277776
2018-01-09,124.49,124.86,124.23,124.71,6955358,14868.201201388889
2018-01-10,125.17,125.31,124.72,125.0239,9009832,14194.688409722214
2018-01-11,125.37,125.66,125.25,125.44,4251344,13697.191066945616
2018-01-12,126.01,127.13,125.81,126.975,7474319,13659.293321678326
2018-01-16,126.6,127.18,126.4,127.17,6614262,12164.619152777768
2018-01-17,126.77,127.22,125.9,126.14,8772608,10680.231659722216
2018-01-18,126.13,126.52,125.8,125.85,5280076,11495.746736111108
2018-01-19,126.57,126.73,126.415,126.43,5304133,11513.536416666664
2018-01-22,126.51,126.75,126.28,126.65,4157474,11130.24243562978
2018-01-23,126.53,127.35,126.34,127.25,4884868,10724.692098679652
2018-01-24,128.39,129.265,128.2338,128.84,9243968,11008.973177700362
2018-01-25,128.69,129.515,127.36,127.92,12145126,11300.6694714882
2018-01-26,128.24,128.52,127.97,128.06,6616384,11009.798190076872
2018-01-29,127.58,127.63,126.915,127.34,5370049,11284.097649930272
2018-01-30,127.91,127.9167,126.74,126.79,8065959,10626.317227653642
2018-01-31,127.45,127.85,126.4,127.67,10972680,9987.00209722223
2018-02-01,127.18,128.15,127.08,128.07,7065768,9496.480807237327
2018-02-02,126.81,126.85,125.955,126.39,11082857,8558.503076388899
2018-02-05,126.82,127.31,126.44,126.74,9970977,7611.722958333325
2018-02-06,126.54,126.55,125.22,125.39,14828743,6828.462006944439
2018-02-07,125.48,125.77,124.41,124.79,6646442,7914.230382209863
2018-02-08,124.92,125.44,124.51,125.0,6110694,8217.03369853453
2018-02-09,124.65,125.14,124.39,124.75,8333313,8261.507706740798
2018-02-12,125.19,125.82,125.11,125.36,5025295,8624.981591067695
2018-02-13,125.67,126.18,125.52,126.09,4443209,8609.500619345868
2018-02-14,126.47,128.59,126.29,128.25,12549221,9025.976004169588
2018-02-15,128.43,128.569,127.94,128.39,6300173,9803.039104166684
2018-02-16,128.3,128.7,127.5689,127.95,6370175,10026.023748261485
2018-02-20,127.29,127.4,126.04,126.25,7724145,11498.271536856755
2018-02-21,126.36,126.76,125.44,125.67,6760461,10791.702006944444
2018-02-22,125.92,126.37,125.88,126.3,3254194,10272.012329624486
2018-02-23,126.06,126.3,125.85,126.11,2700204,10013.17386379431
2018-02-26,126.45,126.62,126.18,126.45,2713123,9910.981484320584
2018-02-27,126.06,126.15,124.59,125.12,5638644,10552.921983298547
2018-02-28,125.09,125.46,124.81,124.97,3209549,10620.142689895503
2018-03-01,124.15,125.31,123.575,124.73,10623885,10650.593361522222
2018-03-02,125.67,125.69,124.97,125.39,5639558,10980.763948468008
2018-03-05,125.35,125.48,124.96,125.17,2999723,11521.001560975596
2018-03-06,126.2,126.9563,126.13,126.52,5793846,11019.909720279717
2018-03-07,126.22,126.29,125.42,125.7,4339820,10399.438623087646
2018-03-08,125.69,125.7,125.125,125.41,2932541,9705.391458333352
2018-03-09,124.94,125.69,124.78,125.54,3942543,8907.90111188324
2018-03-12,125.04,125.57,124.84,125.54,1837709,9435.382157821236
2018-03-13,125.67,125.99,125.05,125.74,3700836,9155.85911002105
2018-03-14,125.49,125.76,125.34,125.69,2486835,8767.755735191635
2018-03-15,125.12,125.21,124.72,124.87,4160744,8111.283709677437
2018-03-16,124.84,124.87,124.21,124.58,4386938,8315.620800835663
2018-03-19,124.57,125.16,124.42,124.88,3889690,8355.327865090401
2018-03-20,124.41,124.55,123.96,124.29,2738952,8623.222288904393
2018-03-21,125.4,126.76,125.03,126.45,10924788,8983.151140472886
2018-03-22,126.09,126.34,125.64,125.98,4000020,8791.889374560795
2018-03-23,127.82,128.06,127.4054,127.6,9125576,8530.117186629528
2018-03-26,128.05,128.58,128.0107,128.28,5007568,8206.624111888135
2018-03-27,127.23,127.62,127.05,127.51,4498334,7965.610793319432
2018-03-28,126.48,126.61,125.51,125.73,6671135,7916.98763029883
2018-03-29,125.42,125.81,125.31,125.79,4065463,7518.44505211954
2018-04-02,126.65,127.54,126.375,127.27,9204118,6977.98203897008
2018-04-03,126.52,126.59,126.01,126.28,4669005,7325.304333333331
2018-04-04,127.5,127.53,126.32,126.43,3639195,7077.711673611102
2018-04-05,125.45,126.0825,125.425,125.81,3803285,6758.0727348643
2018-04-06,126.57,126.6,126.125,126.41,4808488,6649.686111888122
2018-04-09,126.45,126.86,126.23,126.8,3084953,6891.134498607237
2018-04-10,127.02,127.305,126.67,127.12,4548869,6779.196400277992
2018-04-11,128.09,129.47,127.78,128.11,10087201,6879.982216817247
2018-04-12,127.25,127.34,126.47,126.62,6280803,7336.708215277788
2018-04-13,127.07,127.75,127.03,127.46,5444759,7992.690451388897
2018-04-16,127.74,128.05,127.57,127.63,3041146,8080.020305555557
2018-04-17,127.02,127.78,127.001,127.75,2715484,8036.633618055566
2018-04-18,128.32,128.54,127.751,127.85,4621383,8057.3129930555615
2018-04-19,127.81,127.8839,127.13,127.6,6748782,8213.242849200858
2018-04-20,126.69,126.97,126.55,126.62,6240196,8445.635604166675
2018-04-23,125.62,125.76,125.3412,125.62,4602391,8895.61159248956
2018-04-24,125.78,126.34,125.67,126.23,3540357,9314.519125000024
2018-04-25,125.23,125.51,125.06,125.405,3473856,9221.040361111109
2018-04-26,125.54,125.57,124.69,124.94,5622912,8883.210298611131
2018-04-27,125.2,125.62,125.17,125.49,4468856,9217.02084722222
2018-04-30,124.41,125.2,124.1901,124.6,7334021,9290.616041666668
2018-05-01,123.9,123.9882,123.39,123.7,6298787,8988.595694444466
2018-05-02,123.9,124.54,123.58,123.64,6845935,9112.690618485069
2018-05-03,124.66,124.76,124.24,124.28,3808360,9379.656666666657
2018-05-04,124.1,124.65,124.0,124.55,4994828,9656.508229166666
2018-05-07,124.5,124.7,124.3,124.58,2553767,9344.1005277778
2018-05-08,124.14,124.95,123.79,124.59,4917059,9260.790923611114
2018-05-09,124.45,124.87,124.24,124.34,3529346,9193.189895688482
2018-05-10,125.22,125.3724,124.75,125.17,3845919,9265.751898470113
2018-05-11,125.57,125.59,124.94,125.01,3185633,8701.556430555573
2018-05-14,125.16,125.21,124.44,124.48,3083030,8580.233694891553
2018-05-15,122.82,122.82,122.13,122.49,8161401,8642.09697222224
2018-05-16,122.38,122.61,122.03,122.3,3752596,8282.693219749664
2018-05-17,122.23,122.43,122.04,122.36,4628433,8278.002995135541
2018-05-18,122.05,122.65,122.01,122.4,4512186,8106.670181311033
2018-05-21,122.16,122.53,121.97,122.47,2957374,8455.133695198358
2018-05-22,122.7,122.74,122.34,122.42,2663777,8233.2557916667
2018-05-23,122.14,122.74,122.11,122.55,5434495,7784.575402777791
2018-05-24,123.1,123.82,123.08,123.6,7025331,7538.526891516037
2018-05-25,123.66,123.7,123.21,123.22,3717092,7486.642820334291
